produto,preco_real,imagem_url,rating,peso_g,preco_100g,categoria
Café em Grãos Illy Arabica Brasile Cerrado Mineiro Lata 250g,72.9,https://americanas.vtexassets.com/arquivos/ids/19443329/7475843084_1_xlarge.jpg?v=638754955217600000,0.0,250.0,29.16,Café
Café Três Corações Extra Forte Embalagem à Vácuo 250G,67.78,https://americanas.vtexassets.com/arquivos/ids/24484287/7504045913_1_xlarge.jpg?v=638755400706930000,0.0,250.0,27.11,Café
Cafe caps lor ultimo intensity 52G,29.26,https://americanas.vtexassets.com/arquivos/ids/10024821/7335895037_1_xlarge.jpg?v=638792363832030000,0.0,52.0,56.27,Café
Café Orgânico native 90 gramas,85.01,https://americanas.vtexassets.com/arquivos/ids/7907492/7481077477_1_xlarge.jpg?v=638751793738930000,0.0,90.0,94.46,Café
Café Jacu Do Passarinho 150 Gramas/oferta De Natal,76.0,https://americanas.vtexassets.com/arquivos/ids/15983205/7494525131_1_xlarge.jpg?v=638754642083000000,0.0,150.0,50.67,Café
"Café em Pó Moído, Coffee Mais, Arara, 250g",52.5,https://americanas.vtexassets.com/arquivos/ids/18512934/7094747286_1_xlarge.jpg?v=638754865940600000,0.0,250.0,21.0,Café
Café Torrado em Grãos Gaggia 500g 100% Arábica,59.99,https://americanas.vtexassets.com/arquivos/ids/20772527/7500053617_1_xlarge.jpg?v=638755089552330000,0.0,500.0,12.0,Café
Café Torrado Em Grãos Gaggia 500G 100% Arábica,87.14,https://americanas.vtexassets.com/arquivos/ids/10371394/7500049065_1_xlarge.jpg?v=638754055582200000,0.0,500.0,17.43,Café
Café Em Grão Constantino Especial Minas Gerais 500G,87.14,https://americanas.vtexassets.com/arquivos/ids/12601228/3220659405_1_xlarge.jpg?v=638754315972770000,0.0,500.0,17.43,Café
"Café Di Capri Sachê Granulado Solúvel 1,3g - 20 unid.",61.35,https://americanas.vtexassets.com/arquivos/ids/29791349/7478531081_1_xlarge.jpg?v=638755809388800000,0.0,3.0,2045.0,Café
Café Moido 3CORAÇÕES Gourmet Mogiana Paulista 250g,42.99,https://americanas.vtexassets.com/arquivos/ids/18363092/7497100544_1_xlarge.jpg?v=638754851456770000,0.0,250.0,17.2,Café
"Café em Grão Torrado Coffee Mais, Mantiqueira de Minas, 250g",52.5,https://americanas.vtexassets.com/arquivos/ids/13678077/7094753045_1_xlarge.jpg?v=638754424667830000,0.0,250.0,21.0,Café
Cafe caps lor espresso caramel 52G,28.13,https://americanas.vtexassets.com/arquivos/ids/24891795/7335851940_1_xlarge.jpg?v=638792364558600000,0.0,52.0,54.1,Café
"Café Di Capri Stick Sachê 1,3g - Pacote 40 unid.",91.42,https://americanas.vtexassets.com/arquivos/ids/25173631/7478529941_1_xlarge.jpg?v=638755452068330000,0.0,3.0,3047.33,Café
Café Feminino Orgânico em Grãos Coopfam 250g,62.88,https://americanas.vtexassets.com/arquivos/ids/14521917/7356833231_1_xlarge.jpg?v=638754517559400000,0.0,250.0,25.15,Café
"Café Latte, A Tal da Castanha e 3 Corações, 200g",12.5,https://americanas.vtexassets.com/arquivos/ids/16310742/7365436675_1_xlarge.jpg?v=638754669530600000,0.0,200.0,6.25,Café
Café Italiano lavazza Qualitá Oro Moído (Vácuo) 250g,59.99,https://americanas.vtexassets.com/arquivos/ids/28688560/7474045326_1_xlarge.jpg?v=638755717171000000,0.0,250.0,24.0,Café
Café Em Grãos Colombiano Juan Valdez Volcan 250G,76.93,https://americanas.vtexassets.com/arquivos/ids/28359728/7508388809_1_xlarge.jpg?v=638755689310930000,0.0,250.0,30.77,Café
Café Italiano lavazza Qualitá Oro Moído 250g - Rico e Suave,84.36,https://americanas.vtexassets.com/arquivos/ids/28303111/7474252530_1_xlarge.jpg?v=638755684957330000,0.0,250.0,33.74,Café
Café Instantâneo em Pó l. A. Coffee kopiko 250g,47.0,https://americanas.vtexassets.com/arquivos/ids/25652335/7515353370_1_xlarge.jpg?v=638755487666800000,0.0,250.0,18.8,Café
Café Italiano lavazza Qualitá Oro Moído 250g - Rico e Suave,63.55,https://americanas.vtexassets.com/arquivos/ids/24098057/7474252552_1_xlarge.jpg?v=638755371357070000,0.0,250.0,25.42,Café
Café em Grãos Colombiano juan valdez Volcan 250g,62.99,https://americanas.vtexassets.com/arquivos/ids/21759312/7508388718_1_xlarge.jpg?v=638755174374600000,0.0,250.0,25.2,Café
Café Gourmet Em Grãos Orgânico Santa Monica - 250G,69.58,https://americanas.vtexassets.com/arquivos/ids/16165663/5286673904_1_xlarge.jpg?v=638754657148770000,0.0,250.0,27.83,Café
Café Instantâneo Em Pó l. A. Coffee Kopiko 250G,51.04,https://americanas.vtexassets.com/arquivos/ids/13810695/7515354220_1_xlarge.jpg?v=638754438093970000,0.0,250.0,20.42,Café
