produto,preco_real,imagem_url,rating,peso_g,preco_100g,categoria
Café 3Corações torrado moído Fort a vácuo 500g,29.45,https://americanas.vtexassets.com/arquivos/ids/5054214/7513997593_1_xlarge.jpg?v=638751334275300000,0.0,500.0,5.89,Café
Café dupan torra média torrado em grãos pacote 250G,32.2,https://americanas.vtexassets.com/arquivos/ids/25051512/7507165603_1_xlarge.jpg?v=638755442806300000,0.0,250.0,12.88,Café
Café 3 Corações Extra Forte Vácuo 500G Kit 5,,https://americanas.vtexassets.com/arquivos/ids/3648240/4497054951_1_xlarge.jpg?v=638751174811170000,0.0,500.0,,Café
Café Torrado e Moído Tradicional pilão 250g,29.26,https://americanas.vtexassets.com/arquivos/ids/11655281/6783035170_1_xlarge.jpg?v=638754200436270000,0.0,250.0,11.7,Café
Café Torrado Em Grãos América Ristretto 1Kg,,https://americanas.vtexassets.com/arquivos/ids/28966430/5957480207_1_xlarge.jpg?v=638755742118700000,0.0,1000.0,,Café
Café Gourmet Torrado E Moído Santa Monica - 250G,27.93,https://americanas.vtexassets.com/arquivos/ids/21844145/4209889761_1_xlarge.jpg?v=638755181443700000,4.0,250.0,11.17,Café
Café Torrado e Moído Extraforte pilão 500g,48.47,https://americanas.vtexassets.com/arquivos/ids/23133894/6782966183_1_xlarge.jpg?v=638755290597400000,0.0,500.0,9.69,Café
Café Pilão Torrado E Moído Tradicional 3 Pacotes De 250G,,https://americanas.vtexassets.com/arquivos/ids/15273742/7503957408_1_xlarge.jpg?v=638754582469470000,0.0,250.0,,Café
Café Tradicional Sabor Da Fazenda Melitta Vácuo 500g,,https://americanas.vtexassets.com/arquivos/ids/26938111/7475889254_1_xlarge.jpg?v=638755581858830000,0.0,500.0,,Café
Café 3 Corações Extra Forte Vácuo 500G,,https://americanas.vtexassets.com/arquivos/ids/3119006/4497054935_1_xlarge.jpg?v=638751119258800000,0.0,500.0,,Café
Café Em Pó Baggio - 1 Pacote - 250g - Bourbon - Café Gourmet Arábica Moído,43.5,https://americanas.vtexassets.com/arquivos/ids/4551784/1938279701_1_xlarge.jpg?v=638751275107700000,0.0,250.0,17.4,Café
Café Pilão Extra Forte A Vácuo 250g,34.19,https://americanas.vtexassets.com/arquivos/ids/21807289/7506823617_1_xlarge.jpg?v=638755178595230000,0.0,250.0,13.68,Café
Café com Leite Solúvel 3 Corações Sachê 20g,2.49,https://americanas.vtexassets.com/arquivos/ids/21895024/6456677482_1_xlarge.jpg?v=638755185733200000,0.0,20.0,12.45,Café
Café Torrado e Moído Extraforte Vácuo pilão 500g,49.15,https://americanas.vtexassets.com/arquivos/ids/8192731/6783030424_1_xlarge.jpg?v=638752367114500000,0.0,500.0,9.83,Café
Café Em Pó 3 Corações Tradicional 250G,46.97,https://americanas.vtexassets.com/arquivos/ids/14859745/2019132011_1_xlarge.jpg?v=638754546725870000,0.0,250.0,18.79,Café
Café Torrado Em Grão Roma 1 Kg Bialetti,,https://americanas.vtexassets.com/arquivos/ids/1680122/7397098949_1_xlarge.jpg?v=638750977129330000,0.0,1000.0,,Café
Cafe Po Vacuo Selecao de Minas Gourmet 500g,26.99,https://americanas.vtexassets.com/arquivos/ids/20525982/7513150264_1_xlarge.jpg?v=638755064798430000,0.0,500.0,5.4,Café
Cafe Soluvel Nescafe 40G Tradicao Forte,39.42,https://americanas.vtexassets.com/arquivos/ids/24700986/7481861200_1_xlarge.jpg?v=638755416459200000,0.0,40.0,98.55,Café
Café Com Leite Soluvel Instantaneo 3 Corações 1Kg Vending,,https://americanas.vtexassets.com/arquivos/ids/23110609/7481074753_1_xlarge.jpg?v=638755288976900000,0.0,1000.0,,Café
Cafe Soluvel Nescafe 40G Tradicao Forte,20.09,https://americanas.vtexassets.com/arquivos/ids/6924134/5126418541_1_xlarge.jpg?v=638751695637470000,0.0,40.0,50.22,Café
Café Três Corações Tradicional Torrado e Moído 250g,25.9,https://americanas.vtexassets.com/arquivos/ids/9196271/7498511588_1_xlarge.jpg?v=638752470217670000,0.0,250.0,10.36,Café
Café Gourmet em Grãos - Expert Blenders 500g,,https://americanas.vtexassets.com/arquivos/ids/11234609/2715113244_1_xlarge.jpg?v=638754153194000000,0.0,500.0,,Café
Café Torrado e Moído Descafeinado a Vácuo pilão 250g,31.52,https://americanas.vtexassets.com/arquivos/ids/29919659/6783031304_1_xlarge.jpg?v=638755818867930000,0.0,250.0,12.61,Café
Café Solúvel Extraforte Original Vidro nescafé 100g,24.17,https://americanas.vtexassets.com/arquivos/ids/28617330/5966680892_1_xlarge.jpg?v=638755711364400000,0.0,100.0,24.17,Café
Café Gourmet Lor Mogiana Torrado E Moído 250G,98.81,https://americanas.vtexassets.com/arquivos/ids/11615338/7496354599_1_xlarge.jpg?v=638792364334730000,0.0,250.0,39.52,Café
Café dupan torra média intensa grãos pacote 250G,32.2,https://americanas.vtexassets.com/arquivos/ids/14952137/7507250941_1_xlarge.jpg?v=638754554673870000,0.0,250.0,12.88,Café
Café Três Corações Individual Sachê 20G Classic 50 Unidades,,https://americanas.vtexassets.com/arquivos/ids/29052233/5035516752_1_xlarge.jpg?v=638755749207730000,0.0,20.0,,Café
Cafe po melitta extra forte 500G,47.98,https://americanas.vtexassets.com/arquivos/ids/9362596/2658247561_1_xlarge.jpg?v=638752490125800000,0.0,500.0,9.6,Café
Café Com Leite Soluvel 3 Corações Instantaneo Vending 3X 1Kg,,https://americanas.vtexassets.com/arquivos/ids/11837772/7218662963_1_xlarge.jpg?v=638754222330700000,0.0,1000.0,,Café
Cafe Soluvel Nescafe Original Vidro 200g,43.48,https://americanas.vtexassets.com/arquivos/ids/16318308/3581275685_1_xlarge.jpg?v=638754670051170000,0.0,200.0,21.74,Café
Café Em Pó Starbucks- 1 Pacote - 250g - Pike Place Roast,59.5,https://americanas.vtexassets.com/arquivos/ids/1939534/1850424459_1_xlarge.jpg?v=638751002805670000,0.0,250.0,23.8,Café
