produto,preco_real,imagem_url,rating,peso_g,preco_100g,categoria
Café Solúvel Liofilizado Orgânico Native 90g,54.99,https://http2.mlstatic.com/D_Q_NP_2X_781968-MLU75437533488_042024-V.webp,4.9,90.0,61.1,Café
Café Torrado E Moído Chocolate Trufado Café Italle 250g,25.9,https://http2.mlstatic.com/D_Q_NP_2X_782101-MLA80428464020_112024-V.webp,4.6,250.0,10.36,Café
Café instantâneo  descafeinado 3 Corações Solúvel Granulado sem glúten 50 g,17.35,https://http2.mlstatic.com/D_Q_NP_2X_930121-MLA74651637016_022024-V.webp,4.8,50.0,34.7,Café
1 Kg Café Gourmet Em Grão Ouro Da Mogiana,114.9,https://http2.mlstatic.com/D_Q_NP_2X_627204-MLU73474779512_122023-V.webp,4.7,1000.0,11.49,Café
Café Torrado E Moído Fort Pacote 500g 3 Corações,32.75,https://http2.mlstatic.com/D_Q_NP_2X_609746-MLU75981543715_042024-V.webp,4.8,500.0,6.55,Café
Cappuccino Light Sachê 3 Três Corações 10undx14g,21.62,https://http2.mlstatic.com/D_Q_NP_2X_818018-MLB50220171577_062022-V.webp,4.8,14.0,154.43,Cappuccino
Casquinha Cobertura Chocolate Marvi Café Cup Caixa 60g 6 Unidades,29.9,https://http2.mlstatic.com/D_Q_NP_2X_911973-MLU77865906399_072024-V.webp,4.6,60.0,49.83,Café
Café Solúvel Liofilizado Em Vidro Juan Valdez 95g Vanicanela,59.09,https://http2.mlstatic.com/D_Q_NP_2X_991253-MLB47920174841_102021-V.webp,4.8,95.0,62.2,Café
Café de Milho Torrado e Moído Superbom Pacote 500g,10.9,https://http2.mlstatic.com/D_Q_NP_2X_941582-MLA79815440049_102024-V.webp,4.6,500.0,2.18,Café
Café Cevada Solúvel Torrada E Moída Superbom Pote 200g,28.65,https://http2.mlstatic.com/D_Q_NP_2X_853435-MLU74224829825_012024-V.webp,4.9,200.0,14.32,Café
Café Especial Torrado E Moido Arara Coffee Mais 250g,49.9,https://http2.mlstatic.com/D_Q_NP_2X_874139-MLA80113605159_102024-V.webp,4.8,250.0,19.96,Café
Café Solúvel Nescafé Gold Suave 40g Intensidade 6,16.99,https://http2.mlstatic.com/D_Q_NP_2X_856667-MLU71849467570_092023-V.webp,5.0,40.0,42.47,Café
Café Torrado E Moído Fort Pacote 500g 3 Corações,29.39,https://http2.mlstatic.com/D_Q_NP_2X_609746-MLU75981543715_042024-V.webp,4.8,500.0,5.88,Café
Café Cevada Solúvel Torrada E Moída Superbom Pote 200g,28.88,https://http2.mlstatic.com/D_Q_NP_2X_853435-MLU74224829825_012024-V.webp,4.9,200.0,14.44,Café
Café de Milho Torrado e Moído Superbom Pacote 500g,9.3,https://http2.mlstatic.com/D_Q_NP_2X_941582-MLA79815440049_102024-V.webp,4.6,500.0,1.86,Café
Café moído Caboclo Torrado em embalado a vácuo 500 g,29.39,https://http2.mlstatic.com/D_Q_NP_2X_885168-MLA74860501262_032024-V.webp,4.8,500.0,5.88,Café
Cappuccino Cremoso Em Pó Tipo Cafeteria Vending 1kg C/ 3 Un,179.9,https://http2.mlstatic.com/D_Q_NP_2X_712845-MLU78325269449_082024-V.webp,4.8,1000.0,17.99,Cappuccino
"Café Em Grão, Baggio, Bourbon, 500g.",121.5,https://http2.mlstatic.com/D_Q_NP_2X_938018-MLB51631265889_092022-V.webp,4.7,500.0,24.3,Café
Kit Cafe Gourmet Forte Em Graos 500g,165.07,https://http2.mlstatic.com/D_Q_NP_2X_622710-MLB78218891649_082024-V-kit-cafe-gourmet-forte-em-graos-500g.webp,5.0,500.0,33.01,Café
Café Torrado e Moído a Vácuo Italiano Pilão Cafeteria Pacote 500g,36.79,https://http2.mlstatic.com/D_Q_NP_2X_755603-MLU49266042624_032022-V.webp,4.8,500.0,7.36,Café
 Cappuccino Paçoquinha 180g ,16.67,https://http2.mlstatic.com/D_Q_NP_2X_641469-MLB49108487456_022022-V-cappuccino-pacoquinha-180g.webp,4.7,180.0,9.26,Cappuccino
Café Em Sachê Drip Coffee 3 Corações Dark Roast 11g - 20 Un,52.03,https://http2.mlstatic.com/D_Q_NP_2X_762266-MLB82476272061_022025-V-cafe-em-sach-drip-coffee-3-coracoes-dark-roast-11g-20-un.webp,,11.0,473.0,Café
Cappuccino Classic 3 Corações Sachê 20g Pacote 10 Unidades  ,33.59,https://http2.mlstatic.com/D_Q_NP_2X_861155-MLB43044508066_082020-V-cappuccino-classic-3-coracoes-sach-20g-pacote-10-unidades.webp,5.0,20.0,167.95,Cappuccino
Café Orfeu Drip Coffee Clássico 10 Sachês 100% Arábica 100g,46.5,https://http2.mlstatic.com/D_Q_NP_2X_983178-MLB83560173841_042025-V-cafe-orfeu-drip-coffee-classico-10-sachs-100-arabica-100g.webp,,100.0,46.5,Café
Café Compagnia Dell'arabica Kenya Grãos Intenso 250g,57.19,https://http2.mlstatic.com/D_Q_NP_2X_906934-MLU77874058334_072024-V.webp,5.0,250.0,22.88,Café
Café Especial 250g - Goulart Bourbon Amarelo Sul De Minas,57.9,https://http2.mlstatic.com/D_Q_NP_2X_675158-MLA74618883580_022024-V-cafe-especial-250g-goulart-bourbon-amarelo-sul-de-minas.webp,,250.0,23.16,Café
Café Moído Arábica Moca 1kg Bertolino Is Coffee,128.42,https://http2.mlstatic.com/D_Q_NP_2X_723302-MLA81808633739_012025-V-cafe-moido-arabica-moca-1kg-bertolino-is-coffee.webp,,1000.0,12.84,Café
Cappuccino Vendin Kerry Tradicional Machine 1kg  - 3 Und,183.9,https://http2.mlstatic.com/D_Q_NP_2X_932891-MLB71997874471_092023-V-cappuccino-vendin-kerry-tradicional-machine-1kg-3-und.webp,5.0,1000.0,18.39,Cappuccino
Café Torrado Moído Aromatizado Caramelo Café 250g,25.9,https://http2.mlstatic.com/D_Q_NP_2X_666402-MLB78817574431_082024-V-cafe-torrado-moido-aromatizado-caramelo-cafe-250g.webp,4.1,250.0,10.36,Café
Café Especial Itaoca 250g Moído,49.9,https://http2.mlstatic.com/D_Q_NP_2X_884491-MLB78265115458_082024-V-cafe-especial-itaoca-250g-moido.webp,,250.0,19.96,Café
Kit 5 Cappuccino Solúvel Sabor Chocolate Melitta Lata 200g,125.4,https://http2.mlstatic.com/D_Q_NP_2X_705538-MLU72967415137_112023-V.webp,5.0,200.0,62.7,Cappuccino
Café Torrado e Moído Tradicional Ribeirão Pacote 500g,41.4,https://http2.mlstatic.com/D_Q_NP_2X_903400-MLU74226015235_012024-V.webp,,500.0,8.28,Café
Kit 3 Cappuccino Light Três Corações Sachê 140g,71.43,https://http2.mlstatic.com/D_Q_NP_2X_803619-MLB43918207460_102020-V-kit-3-cappuccino-light-trs-coracoes-sach-140g.webp,4.8,140.0,51.02,Cappuccino
Café Coffee Mais Mantiqueira De Minas Torrado E Moído - 250g,49.9,https://http2.mlstatic.com/D_Q_NP_2X_976519-MLU79014425187_092024-V.webp,4.7,250.0,19.96,Café
Café Solúvel Extraforte Nescafé Original Sachê 40g,7.65,https://http2.mlstatic.com/D_Q_NP_2X_976125-MLB71900434588_092023-V-cafe-soluvel-extraforte-nescafe-original-sach-40g.webp,4.9,40.0,19.12,Café
Café Torrado E Moído Extraforte 500g Sul de Minas - Café Minas,35.37,https://http2.mlstatic.com/D_Q_NP_2X_916685-MLU77048318912_062024-V.webp,4.4,500.0,7.07,Café
Cappuccino Solúvel Tradicional Café Do Centro6kg (6x1kg),355.71,https://http2.mlstatic.com/D_Q_NP_2X_688102-MLB75738305723_042024-V-cappuccino-soluvel-tradicional-cafe-do-centro6kg-6x1kg.webp,5.0,6000.0,5.93,Cappuccino
Café Gourmet Torrado/moido Baggio 250gr Chocolate Com Avelã,45.7,https://http2.mlstatic.com/D_Q_NP_2X_964404-MLB83532552694_042025-V-cafe-gourmet-torradomoido-baggio-250gr-chocolate-com-avel.webp,,250.0,18.28,Café
Coffee Mate Nestlé 400g Original Creme Para Café,70.4,https://http2.mlstatic.com/D_Q_NP_2X_921188-MLB70232551751_062023-V-coffee-mate-nestle-400g-original-creme-para-cafe.webp,4.8,400.0,17.6,Café
Kit Café Torrado Em Grãos 6kg Intenso Café Especial,651.99,https://http2.mlstatic.com/D_Q_NP_2X_836547-MLU70354395017_072023-V.webp,5.0,6000.0,10.87,Café
Café Lá Santé Pouch 500g 100% Puro Kit Com 4 Pacotes,162.04,https://http2.mlstatic.com/D_Q_NP_2X_607534-MLB76372058775_052024-V-cafe-la-sante-pouch-500g-100-puro-kit-com-4-pacotes.webp,5.0,500.0,32.41,Café
Café Solúvel Liofilizado Vidro Juan Valdez 95g Descafeinado,78.99,https://http2.mlstatic.com/D_Q_NP_2X_875605-MLB83363987881_032025-V-cafe-soluvel-liofilizado-vidro-juan-valdez-95g-descafeinado.webp,4.9,95.0,83.15,Café
